,Anno,Età,Obiettivo Prelievo (Nom.),Prelievo Effettivo (Nom.),Prelievo Effettivo (Reale),Fonte: Conto Corrente,Fonte: Vendita ETF,Vendita ETF (Rebalance),Pensione Pubblica (Nom.),Rendita FP (Nom.),Liquidazione FP (Nom.),Patrimonio Banca (Nom.),Patrimonio ETF (Nom.),Patrimonio FP (Nom.),Patrimonio Banca (Reale),Patrimonio ETF (Reale),Patrimonio FP (Reale),Variazione Netta Patrimonio %,Rendimento Portafoglio %
70,71,98,70405.83823676064,70405.83823676064,11871.45590898111,70405.83823676064,0,20823.851162343868,49818.20179508599,4595.869633332553,0,473063.62046338903,52740.56113737225,0,79026.71331051887,8810.470779292507,0,0.007141360560185842,0.01018365577846934
71,72,99,71662.32229321287,71662.32229321287,11842.242982840064,71662.32229321287,0,0,50833.343267527234,4689.519297483808,0,456758.40484893555,50750.93387210395,0,74937.60317648314,8326.400352942572,0,-0.03479402317422591,-0.03772480273931776
72,73,100,73668.39373557882,73668.39373557882,11769.351624714707,73668.39373557882,0,0,52585.15409875639,4439.102222810987,0,432657.4133924398,48073.04593249331,0,67834.9743987095,7537.219377634389,0,-0.0527652938635398,-0.05276529386353983
73,74,101,76669.91030899955,76669.91030899955,11908.48133415575,76669.91030899955,0,4005.0535254106944,54082.46757328063,0,0,413930.3701848556,46004.55824245908,0,63755.86083614498,7085.878264560978,0,-0.04325819280688094,-0.043028013929862205
74,75,102,78033.50329986526,78033.50329986526,11829.439561896397,78033.50329986526,0,7751.067190498732,55414.14979604594,0,0,398603.5909513284,44336.45376350391,0,59262.51215035324,6591.73597405964,0,-0.036950626408379234,-0.03625954780749589
75,76,103,80447.08666829066,80447.08666829066,11877.353399758089,80447.08666829066,0,1935.147669996506,56894.60832248847,0,0,376850.9729427131,41883.58447505804,0,54969.141488682726,6109.323967202932,0,-0.05464732210573732,-0.05532398467251737
76,77,104,82197.20993052711,82197.20993052711,11805.913002925985,82197.20993052711,0,5382.280877100071,58485.22762393227,0,0,358123.2265073297,39831.91905702428,0,50600.24190946031,5627.964317366664,0,-0.04962430610350992,-0.0489849530251057
77,78,105,84632.8072388147,84632.8072388147,11840.150389605466,84632.8072388147,0,4794.438658442377,60044.154197560914,0,0,337915.2196001582,37588.334680502005,0,46770.71043959231,5202.586374560034,0,-0.056417391592849885,-0.05632629382757853
78,79,106,86948.75972874547,86948.75972874547,11899.968497448353,86948.75972874547,0,2806.85748641345,61378.18413473444,0,0,314892.0485186862,35013.05572139562,0,42255.71374484889,4698.44083664736,0,-0.06817099265442769,-0.06851271760231095
79,80,107,89393.66417578737,89393.66417578737,11848.102990627383,89393.66417578737,0,0,63379.25344397509,0,0,285205.43057588366,31689.492286209294,0,37222.168030018125,4135.796447779791,0,-0.0943403825150818,-0.09492354685156423
